Omega RDXL6SD-USB Serial No. 0102-01540 - Sampled Data
Date:,2020-04-09

Time,Sample No.,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Cold Junction 1,Cold Junction 2,Cold Junction 3,Cold Junction 4,Voltage 1,Voltage 2,Voltage 3,Voltage 4,Resistance 5,Resistance 6,
,,°F,°F,°F,°F,°F,°F,°F,°F,°F,°F,mV,mV,mV,mV,Ω,Ω,
2020-04-09 22:18:29,119, 415.4, 377.3, 373.5, 366.1,High,High,  91.9,  93.1,  94.1,  94.5,7.3205,7.5047,7.3694,7.1421,High,High,
2020-04-09 22:20:29,120, 415.6, 377.5, 374.4, 366.3,High,High,  92.0,  93.2,  94.3,  94.7,7.3224,7.5092,7.3908,7.1444,High,High,
2020-04-09 22:22:29,121, 415.6, 377.3, 374.5, 366.2,High,High,  92.3,  93.3,  94.3,  94.7,7.3191,7.4985,7.3931,7.1391,High,High,
2020-04-09 22:24:29,122, 415.4, 377.0, 374.0, 366.3,High,High,  92.1,  93.3,  94.4,  94.7,7.3167,7.4916,7.3767,7.1402,High,High,
2020-04-09 22:26:29,123, 415.3, 377.1, 374.4, 366.3,High,High,  92.4,  93.4,  94.4,  94.8,7.3114,7.4883,7.3886,7.1408,High,High,
2020-04-09 22:28:29,124, 415.5, 376.9, 374.1, 366.3,High,High,  92.4,  93.6,  94.5,  94.8,7.3135,7.4816,7.3764,7.1378,High,High,
2020-04-09 22:30:29,125, 415.8, 377.5, 374.4, 366.4,High,High,  92.5,  93.6,  94.5,  94.9,7.3168,7.4999,7.3846,7.1419,High,High,
2020-04-09 22:32:29,126, 415.8, 377.7, 374.6, 366.4,High,High,  92.6,  93.6,  94.5,  94.9,7.3160,7.5032,7.3904,7.1427,High,High,
2020-04-09 22:34:29,127, 415.7, 377.1, 373.3, 366.3,High,High,  92.6,  93.6,  94.5,  94.9,7.3149,7.4868,7.3521,7.1385,High,High,
2020-04-09 22:36:29,128, 415.8, 377.6, 373.6, 366.4,High,High,  92.7,  93.6,  94.6,  95.0,7.3139,7.4968,7.3582,7.1418,High,High,
2020-04-09 22:38:29,129, 416.1, 378.2, 375.0, 366.5,High,High,  92.6,  93.7,  94.6,  94.9,7.3205,7.5144,7.4005,7.1408,High,High,
2020-04-09 22:40:29,130, 415.9, 378.1, 374.2, 366.5,High,High,  92.6,  93.7,  94.6,  95.0,7.3170,7.5124,7.3777,7.1409,High,High,
2020-04-09 22:42:29,131, 415.9, 378.0, 374.3, 366.5,High,High,  92.6,  93.6,  94.6,  95.0,7.3197,7.5089,7.3799,7.1434,High,High,
2020-04-09 22:44:29,132, 416.0, 378.0, 374.3, 366.4,High,High,  92.6,  93.6,  94.6,  94.9,7.3183,7.5085,7.3798,7.1432,High,High,
2020-04-09 22:46:29,133, 415.9, 377.6, 373.9, 366.6,High,High,  92.6,  93.8,  94.6,  95.0,7.3202,7.4986,7.3685,7.1439,High,High,
2020-04-09 22:48:29,134, 415.8, 377.3, 374.5, 366.6,High,High,  92.7,  93.7,  94.6,  94.9,7.3146,7.4912,7.3864,7.1456,High,High,
2020-04-09 22:50:29,135, 416.0, 377.6, 374.3, 366.6,High,High,  92.8,  93.7,  94.6,  95.0,7.3165,7.4994,7.3808,7.1445,High,High,
2020-04-09 22:52:29,136, 416.0, 377.8, 372.9, 366.6,High,High,  92.8,  93.7,  94.8,  95.0,7.3198,7.5012,7.3387,7.1452,High,High,
2020-04-09 22:54:29,137, 416.1, 377.6, 374.8, 366.6,High,High,  92.7,  93.7,  94.6,  94.9,7.3183,7.4977,7.3917,7.1438,High,High,
2020-04-09 22:56:29,138, 415.9, 377.5, 374.1, 366.6,High,High,  92.7,  93.7,  94.5,  94.9,7.3168,7.4951,7.3736,7.1469,High,High,
